SOURCENAME	OBSID		FUND_AMP		FUND_FREQ 	FUND_FWHM	HARM_AMP		HARM_FREQ	HARM_FWHM	PHASE_MEAN	PHASE_ERROR FREQSTEP
xtej1650   60113-01-12-01   0.09127716806669339   4.35289416014   0.864035252415   0.10962111954404258   7.86250000338   8.42471320584   0.194641094461   0.0516647374766   0.125
xtej1650   60113-01-12-04   0.06526563528429762   5.17019641012   0.637052789943   0.04593543251158795   10.5541921643   1.50619568865   0.278215765976   0.0374043079699   0.125
xtej1650   60113-01-13-00   0.05918635445502286   5.72923112495   0.684125391219   0.04952108157454085   11.9744778922   2.35798602407   0.157878043415   0.0525735650137   0.125
xtej1650   60113-01-13-01   0.07259882267405225   6.32804561889   1.22017122078   0.07806763248907549   12.7558113899   5.39719924764   0.310416924688   0.0342787722166   0.125
grs1915   20186-03-02-06   0.11001730143106149   4.05625   1.45937623646   0.06630196077773082   7.00625   4.82448041074   0.315952405845   0.0129226704301   0.0625
grs1915   20402-01-05-00   0.18017415460106673   2.81563944856   0.477583713384   0.07750724110524579   5.51235281543   1.14900109209   0.111327054934   0.00983944366926   0.0625
grs1915   20402-01-06-00   0.2111581360593114   2.75   0.920489819237   0.12603268080480973   5.25   2.82635025563   0.0464778505224   0.0116691507334   0.0625
grs1915   20402-01-07-00   0.17913496144979377   3.11096605228   0.762416812653   0.09203142298840729   6.14927954715   1.9940588466   0.106640333396   0.00401266636251   0.0625
grs1915   20402-01-08-01   0.16711049976460327   3.45630367074   0.842609239705   0.07300282942636498   6.825   2.05610454883   0.0736527984456   0.0145009889134   0.0625
grs1915   20402-01-09-00   0.17200193622634413   2.82017573892   0.589379741909   0.09843131060991396   5.5125   1.81393718028   0.0938720220111   0.012782470103   0.0625
grs1915   20402-01-10-00   0.16610055349497146   2.91161933081   0.61603593728   0.08077105524333578   5.7587030147   1.42026547642   0.10038360715   0.0207281813021   0.0625
grs1915   20402-01-11-00   0.1505767315559203   2.92079380627   0.534288748169   0.07541300982922712   5.7701252595   1.25967157945   0.0746295585046   0.0083615426014   0.0625
grs1915   20402-01-13-00   0.16714747783351577   3.63481555653   1.01380656117   0.1056183790101509   6.90785797629   3.9307844275   0.067737973784   0.0114825092642   0.0625
grs1915   20402-01-14-00   0.16535931728769648   3.53920416381   0.913342060025   0.14304100951239285   6.42711991578   5.0   0.0847061404818   0.0082136671123   0.0625
grs1915   20402-01-15-00   0.16635290497266425   2.26292112156   0.405403827506   0.10764883614623565   4.5052191527   1.15955765591   0.128090912144   0.00759685053849   0.0625
grs1915   20402-01-16-00   0.15690561448178805   2.96929074615   0.576693063516   0.08987803163777242   5.81349503366   1.75172477882   0.099725226611   0.0215625596467   0.0625
grs1915   20402-01-20-00   0.15206172653720593   3.20401868976   0.572529576367   0.07281184790641143   6.35833673114   1.43240385336   0.110834342653   0.0104178377537   0.0625
grs1915   20402-01-26-00   0.13507088464064398   4.23824261489   1.04421999724   0.07901115644479843   8.05058898614   5.0   0.0526639924483   0.00505582969465   0.0625
grs1915   20402-01-48-00   0.07738000681542655   4.64616076104   0.928453670814   0.05528625959569886   8.66875   5.0   0.265059145181   0.0168564718607   0.0625
grs1915   20402-01-50-01   0.1585072048983106   1.03951746675   0.16962469211   0.09925373229080464   2.05366029291   0.736670984522   0.484524969722   0.0174769139675   0.0625
grs1915   20402-01-51-00   0.1658428680011899   1.38531895619   0.186556621109   0.06899352232554644   2.7217604041   0.395353601059   0.432504010612   0.0108228911341   0.0625
grs1915   30182-01-01-00   0.21250373207640488   2.14134714499   0.402565931638   0.10851706010891692   4.14232215868   1.20073788668   0.246207718056   0.00475830697499   0.0625
grs1915   30182-01-02-00   0.16862419567442208   3.32699906876   0.990045983098   0.05956959549057471   6.5786177493   2.10037129054   0.183337308904   0.00471247109112   0.0625
grs1915   30182-01-03-00   0.07364828081827013   5.04244085599   1.1370310401   0.05030593332455642   9.02500009743   5.0   0.0837098867802   0.0133932770149   0.0625
grs1915   30182-01-04-00   0.17865094064895   2.88157641547   1.00563728398   0.12662415769418467   4.9875   3.98191683096   0.127773826914   0.0145858066574   0.0625
grs1915   30182-01-04-01   0.17889408448731448   2.54375   0.736108990254   0.16569416308393217   4.39375   3.35946933783   0.201400541997   0.00903627457414   0.0625
grs1915   30402-01-09-01   0.1726099146187461   2.13455845209   0.243199833142   0.0738510050704121   4.0375   2.45401833335   0.419675145256   0.0323193459314   0.0625
grs1915   30402-01-10-00   0.1875364543940764   1.65950638558   0.278076050363   0.10872949720534672   3.0875   2.13045468634   0.414962339981   0.0288081376117   0.0625
grs1915   30402-01-11-00   0.10167784122292021   5.46627197183   1.68189256022   0.025830293421959475   9.6187502692   4.42858627551   0.532288700068   0.0152583302509   0.0625
grs1915   30703-01-16-00   0.17744920637823006   1.37746084553   0.210981573719   0.12755449567737948   2.6125   1.93616554015   0.488237897782   0.0203328858501   0.0625
grs1915   30703-01-17-00   0.15347811316606785   0.920360014357   0.12196262802   0.06990846436023775   1.83127394225   0.325861656172   0.544983282205   0.0230848677253   0.0625
grs1915   30703-01-22-00   0.19997555575134254   2.23864733059   0.372255737727   0.1217574323251588   4.22900759409   1.81020810111   0.232867633536   0.0250756045528   0.0625
grs1915   30703-01-25-00   0.17636082174302398   3.27020148953   0.976635047149   0.1279151875840029   5.81875   4.93302342664   0.139011060001   0.00867147269379   0.0625
grs1915   30703-01-33-00   0.17638983589506732   3.29088881636   0.849562928761   0.09844508378263972   6.38066379664   2.88039481363   0.101469007217   0.00612613227067   0.0625
